Nume Produs,Pret,Numar Review-uri
"Toshiba Porteg...",$1114.55,"0 reviews"
"Acer Predator...",$1123.87,"1 reviews"
"Acer Aspire 7...",$1123.87,"4 reviews"
"Dell Inspiron...",$1124.2,"10 reviews"
"Dell Latitude...",$1133.82,"14 reviews"
"Lenovo Legion...",$1133.91,"13 reviews"
"Asus AsusPro A...",$1139.54,"7 reviews"
"Acer Nitro 5 A...",$1140.62,"14 reviews"
"Dell Latitude...",$1143.4,"5 reviews"
"Dell Inspiron...",$1144.2,"2 reviews"
"Dell Latitude...",$1144.4,"10 reviews"
"Lenovo Legion...",$1149,"11 reviews"
"MSI GP62M 7RDX...",$1149,"11 reviews"
"Lenovo Yoga 72...",$1149.73,"12 reviews"
"Toshiba Porteg...",$1154.04,"7 reviews"
"Acer TravelMat...",$1170.1,"0 reviews"
"Dell Latitude...",$1178.19,"6 reviews"
"ThinkPad T540p",$1178.99,"2 reviews"
"MSI GS63 7RD S...",$1179,"2 reviews"
"Dell Latitude...",$1187.88,"5 reviews"
"Acer Predator...",$1187.98,"14 reviews"
"MSI GL62M 7REX",$1199,"7 reviews"
"MSI GL62M 7REX...",$1199,"12 reviews"
"Lenovo Yoga 91...",$1199.73,"7 reviews"
"Toshiba Porteg...",$1203.41,"13 reviews"
"Lenovo IdeaPad...",$1212.16,"0 reviews"
"Acer Predator...",$1221.58,"9 reviews"
"ThinkPad Yoga",$1223.99,"2 reviews"
"Asus VivoBook...",$1235.49,"10 reviews"
"Dell Latitude...",$1238.37,"0 reviews"
"Asus ZenBook U...",$1239.2,"14 reviews"
"ThinkPad X230",$1244.99,"10 reviews"
"Asus ROG Strix...",$1259,"7 reviews"
"Apple MacBook...",$1260.13,"8 reviews"
"Dell Latitude...",$1271.06,"13 reviews"
"Hewlett Packar...",$1273.11,"8 reviews"
"Dell XPS 13",$1281.99,"4 reviews"
"Toshiba Porteg...",$1294.74,"6 reviews"
"MSI GL62VR 7RF...",$1299,"1 reviews"
"Dell Latitude...",$1310.39,"8 reviews"
"ThinkPad X240",$1311.99,"12 reviews"
"Hewlett Packar...",$1326.83,"2 reviews"
"Apple MacBook...",$1333,"0 reviews"
"Dell Latitude...",$1337.28,"6 reviews"
"Dell Latitude...",$1338.37,"11 reviews"
"Dell Latitude...",$1341.22,"3 reviews"
"Apple MacBook...",$1347.78,"11 reviews"
"Lenovo ThinkPa...",$1349.23,"5 reviews"
"Lenovo ThinkPa...",$1362.24,"12 reviews"
"Toshiba Porteg...",$1366.32,"11 reviews"
"Asus ASUSPRO B...",$1381.13,"4 reviews"
"Lenovo Legion...",$1399,"8 reviews"
"Asus ROG Strix...",$1399,"10 reviews"
"Asus ROG Strix...",$1769,"7 reviews"
"Asus ROG Strix...",$1769,"8 reviews"
"Asus ROG Strix...",$1799,"8 reviews"
